scenario,delta,precision,recall_tpr,fpr,f1,mae_a,rmse_a,tp,fp,fn,tn,day_recall,day_fpr,attack_points,detected_points
clean,0.0,0.0,0.0,0.4165580182529335,0.0,0.04271042346954346,0.07234559953212738,0,2556,0,3580,0.0,0.9834710743801653,0,2556
attack_sa_5pct,0.05,0.06776416539050537,0.5939597315436241,0.4170948955121617,0.1216494845360825,0.04305586963891983,0.07249464094638824,177,2435,121,3403,1.0,0.9655172413793104,298,2612
attack_sa_8pct,0.08,0.08517823639774859,0.761744966442953,0.41760877012675574,0.15322308471144108,0.04363587871193886,0.0728430524468422,227,2438,71,3400,1.0,0.9655172413793104,298,2665
attack_sa_10pct,0.1,0.09033221351250467,0.8120805369127517,0.41743747858855773,0.16257977830030235,0.044084686785936356,0.0731789842247963,242,2437,56,3401,1.0,0.9655172413793104,298,2679
