dataset,tp,fp,fn,tn,accuracy,precision,recall,f1,fpr,pa_tp,pa_fp,pa_fn,pa_tn,pa_precision,pa_recall,pa_f1,pa_fpr,day_recall,day_fpr,n_atk_days,n_cln_days,threshold
validation,1473,82,486,36834,0.9853890675241157,0.9472668810289389,0.7519142419601837,0.838360842344906,0.0022212590746559756,1808,82,151,36834,0.9566137566137566,0.9229198570699336,0.9394647960509223,0.0022212590746559756,0.8775510204081632,0.06329113924050633,49,158,0.5581638730812076
site5_6.0kw_2021_2022_attack_sa_5pct,1164,169,2426,55784,0.9564180508204155,0.873218304576144,0.32423398328690806,0.4728823887873248,0.0030203921148106447,2083,169,1507,55784,0.9249555950266429,0.5802228412256267,0.7131119479630262,0.0030203921148106447,0.5608465608465608,0.0708502024291498,189,494,0.5581638730812076
site5_6.0kw_2021_2022_attack_sa_8pct,2141,147,1449,55806,0.9731958416606487,0.9357517482517482,0.5963788300835655,0.7284790745151412,0.0026272049756045253,2766,147,824,55806,0.9495365602471678,0.7704735376044568,0.850684299554052,0.0026272049756045253,0.7513227513227513,0.0708502024291498,189,494,0.5581638730812076
site5_6.0kw_2021_2022_attack_sa_10pct,2473,140,1117,55813,0.9788892061199469,0.9464217374665136,0.688857938718663,0.7973561180074158,0.0025020999767662146,3162,140,428,55813,0.9576014536644458,0.8807799442896936,0.9175856065002902,0.0025020999767662146,0.8465608465608465,0.0708502024291498,189,494,0.5581638730812076
