model,dataset,accuracy,precision,recall,f1,fpr,pa_f1,day_recall,day_fpr,mae,rmse,half_width
Proposed entro2+test_ver7,SA5,0.9736,0.8737,0.6107,0.7189,0.0052,,,,,,
Proposed entro2+test_ver7,SA8,0.9857,0.9024,0.8315,0.8655,0.0053,,,,,,
Proposed entro2+test_ver7,SA10,0.9905,0.9157,0.9125,0.9141,0.0049,,,,,,
CNN-LSTM PI entro-clean-only,SA5,0.5789,0.0649,0.4893,0.1146,0.4159,0.2210,1.0000,0.9600,0.0354,0.0680,0.01958
CNN-LSTM PI entro-clean-only,SA8,0.5807,0.0723,0.5519,0.1279,0.4176,0.2203,1.0000,0.9600,0.0357,0.0683,0.01958
CNN-LSTM PI entro-clean-only,SA10,0.5820,0.0766,0.5883,0.1355,0.4184,0.2199,1.0000,0.9600,0.0359,0.0685,0.01958
